combo_key,option,match_no,winner_slot,winner_group,third_group
ABCEFGJK,418,81,1D,D,B
ABCEFGJK,418,74,1E,E,C
ABCEFGJK,418,82,1G,G,A
ABCEFGJK,418,77,1I,I,F
ABCEFGJK,418,87,1K,K,J
ABCEFGJK,418,80,1L,L,K
ABCEFGJL,417,79,1A,A,E
ABCEFGJL,417,85,1B,B,G
ABCEFGJL,417,81,1D,D,B
ABCEFGJL,417,74,1E,E,C
ABCEFGJL,417,82,1G,G,A
ABCEFGJL,417,77,1I,I,F
ABCEFGJL,417,87,1K,K,L
ABCEFGJL,417,80,1L,L,J
ABCEFGKL,416,79,1A,A,E
ABCEFGKL,416,85,1B,B,G
ABCEFGKL,416,81,1D,D,B
ABCEFGKL,416,74,1E,E,C
ABCEFGKL,416,82,1G,G,A
ABCEFGKL,416,77,1I,I,F
ABCEFGKL,416,87,1K,K,L
ABCEFGKL,416,80,1L,L,K
ABCEFHIJ,415,79,1A,A,H
ABCEFHIJ,415,85,1B,B,J
ABCEFHIJ,415,81,1D,D,B
ABCEFHIJ,415,74,1E,E,C
ABCEFHIJ,415,82,1G,G,A
ABCEFHIJ,415,77,1I,I,F
ABCEFHIJ,415,87,1K,K,E
ABCEFHIJ,415,80,1L,L,I
ABCEFHIK,414,79,1A,A,H
ABCEFHIK,414,85,1B,B,E
ABCEFHIK,414,81,1D,D,B
ABCEFHIK,414,74,1E,E,C
ABCEFHIK,414,82,1G,G,A
ABCEFHIK,414,77,1I,I,F
ABCEFHIK,414,87,1K,K,I
ABCEFHIK,414,80,1L,L,K
ABCEFHIL,413,79,1A,A,H
ABCEFHIL,413,85,1B,B,E
ABCEFHIL,413,81,1D,D,B
ABCEFHIL,413,74,1E,E,C
ABCEFHIL,413,82,1G,G,A
ABCEFHIL,413,77,1I,I,F
ABCEFHIL,413,87,1K,K,L
ABCEFHIL,413,80,1L,L,I
ABCEFHJK,412,79,1A,A,H
ABCEFHJK,412,85,1B,B,J
ABCEFHJK,412,81,1D,D,B
ABCEFHJK,412,74,1E,E,C
ABCEFHJK,412,82,1G,G,A
ABCEFHJK,412,77,1I,I,F
ABCEFHJK,412,87,1K,K,E
ABCEFHJK,412,80,1L,L,K
ABCEFHJL,411,79,1A,A,H
ABCEFHJL,411,85,1B,B,J
ABCEFHJL,411,81,1D,D,B
ABCEFHJL,411,74,1E,E,C
ABCEFHJL,411,82,1G,G,A
ABCEFHJL,411,77,1I,I,F
ABCEFHJL,411,87,1K,K,L
ABCEFHJL,411,80,1L,L,E
ABCEFHKL,410,79,1A,A,H
ABCEFHKL,410,85,1B,B,E
ABCEFHKL,410,81,1D,D,B
ABCEFHKL,410,74,1E,E,C
ABCEFHKL,410,82,1G,G,A
ABCEFHKL,410,77,1I,I,F
